mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift,decision_flipped
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,0.0,17.76171875,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,0.0,18.2626953125,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,0.0,18.71875,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,0.0,18.482421875,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,0.0,17.359375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,0.0,18.462890625,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,0.0,18.591064453125,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,0.0,16.84375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,0.0,18.6328125,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,0.0,-22.09375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,0.0,-22.0625,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.0,-22.34375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,0.0,-19.625,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,0.0,-22.59375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,0.0,-22.78125,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,0.0,-22.8125,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,0.0,-22.84375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,0.0,-22.09375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,0.0,-22.5625,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,0.0,0.0,0.0,False
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,0.05,18.58203125,0.78125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014153247699141502,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,0.05,18.333984375,0.572265625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014153247699141502,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,0.05,19.1328125,0.8701171875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014153247699141502,False
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,0.05,19.453125,0.734375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014153247699141502,False
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,0.05,19.0703125,0.587890625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014153247699141502,False
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,0.05,18.0982666015625,0.7388916015625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014153247699141502,False
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,0.05,19.3125,0.849609375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,0.05,19.34375,0.752685546875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,0.05,17.841796875,0.998046875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,0.05,19.3125,0.6796875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,0.05,-20.53125,1.5625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,0.05,-21.09375,0.96875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.05,-21.328125,1.015625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,0.05,-18.421875,1.203125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,0.05,-21.53125,1.0625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,0.05,-21.65625,1.125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,0.05,-22.0,0.8125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,0.05,-22.03125,0.8125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,0.05,-21.03125,1.0625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,0.05,-21.5625,1.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,4.8909454345703125,1.4290872579037641,0.014779522083699703,False
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,0.1,18.86328125,1.0625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.034050509333610535,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,0.1,18.8984375,1.13671875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.034050509333610535,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,0.1,19.5625,1.2998046875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.034050509333610535,False
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,0.1,19.984375,1.265625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.034050509333610535,False
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,0.1,19.484375,1.001953125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.034050509333610535,False
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,0.1,18.6640625,1.3046875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.034050509333610535,False
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,0.1,19.703125,1.240234375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,0.1,19.7265625,1.135498046875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,0.1,18.34765625,1.50390625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,0.1,19.90625,1.2734375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
