mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_040,0.0,-22.6875,0.0,competence,,random,040,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_040,0.0,-21.0,0.0,competence,,random,040,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_040,0.0,-22.1875,0.0,competence,,random,040,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_040,0.0,-21.625,0.0,competence,,random,040,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_040,0.0,-21.46875,0.0,competence,,random,040,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_040,0.0,-20.75,0.0,competence,,random,040,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_040,0.0,-21.6875,0.0,competence,,random,040,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_040,0.0,-21.625,0.0,competence,,random,040,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_040,0.05,0.390625,-21.109375,competence,,random,040,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_040,0.05,-1.5,-22.9375,competence,,random,040,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_040,0.05,0.84375,-19.78125,competence,,random,040,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_040,0.05,-1.09375,-22.09375,competence,,random,040,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_040,0.05,0.6875,-19.8125,competence,,random,040,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_040,0.05,-2.25,-23.9375,competence,,random,040,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_040,0.05,0.3125,-20.5,competence,,random,040,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_040,0.05,0.0,-21.1875,competence,,random,040,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_040,0.05,0.21875,-21.21875,competence,,random,040,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_040,0.05,-2.625,-22.6875,competence,,random,040,denoised
