name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
brandom,36.0,36.0,neumark,3,-9.017821311950684,16.284591674804688,1.0
brandon,35.0,35.0,neumark,1,-9.377161026000977,17.829227447509766,1.625
brenda,59.0,49.0,neumark,1,-9.19635009765625,17.722427368164062,1.875
brendan,58.33550488599349,62.472312703583064,bertrand,307,-9.300045013427734,17.8524169921875,1.5
brett,56.693811074918564,59.928338762214985,bertrand,307,-9.614123344421387,17.654743194580078,1.75
brianna,41.5,21.5,neumark,2,-8.388927459716797,17.44899559020996,1.625
carol,75.0,53.0,neumark,1,-9.344658851623535,17.86956024169922,1.875
carolyn,75.33333333333333,64.66666666666667,neumark,3,-8.969143867492676,17.771869659423828,1.75
carrie,61.97394136807818,61.45928338762215,bertrand,307,-8.982816696166992,18.071212768554688,1.5
carrie johnson,63.07843137254902,63.23529411764706,jacquemet,51,-8.555619239807129,18.600828170776367,1.75
carrie martin,71.08333333333333,67.25,oreopoulos,12,-8.493748664855957,18.854103088378906,1.625
chad,53.396039603960396,56.10891089108911,flake_leasure,202,-9.482177734375,17.079082489013672,1.5
chales,47.666666666666664,53.333333333333336,neumark,3,-9.0814847946167,16.909534454345703,-0.5
charles,59.0,80.5,neumark,2,-9.588903427124023,17.562297821044922,1.625
chaudhry mohammad,42.125,59.125,oreopoulos,8,-6.7308526039123535,15.442764282226562,1.25
chloe,38.5,31.0,neumark,2,-8.861881256103516,18.081649780273438,1.875
christina,71.0,69.0,neumark,1,-8.833490371704102,18.23118019104004,2.0
chritine,46.5,25.5,neumark,2,-7.866966247558594,16.824752807617188,1.375
chrostopher,42.0,65.0,neumark,2,-7.799089431762695,15.95309829711914,0.625
claire kruger,49.97,65.54,nunley,100,-8.060123443603516,18.301090240478516,2.0
cody baker,53.58,61.5,nunley,100,-9.280475616455078,18.338685989379883,1.625
courtney,36.5,83.0,neumark,2,-9.289176940917969,17.86874008178711,1.625
cynthia,50.5,60.25,neumark,4,-9.21556282043457,17.67115020751953,2.0
daniel,55.0,65.5,neumark,2,-9.317900657653809,17.880016326904297,1.625
danielle,75.0,58.0,neumark,2,-9.081010818481445,18.201026916503906,1.75
darius jackson,49.46296296296296,55.851851851851855,gorzig,54,-8.927672386169434,18.244892120361328,1.875
darnell,49.95454545454545,52.672077922077925,bertrand,308,-8.35244083404541,16.93646812438965,2.0
david,56.0,63.0,neumark,1,-9.537365913391113,17.989347457885742,2.0
david schmitt,52.80555555555556,69.47222222222223,widner,36,-8.642256736755371,18.036813735961914,2.125
dawn,74.0,51.5,neumark,2,-9.031242370605469,17.78892707824707,1.875
deandre washington,44.25,47.2,nunley,100,-8.004217147827148,17.39515495300293,1.875
deborah,42.5,59.5,neumark,2,-9.350313186645508,17.26742935180664,2.0
debra,46.0,53.5,neumark,4,-8.952144622802734,17.260570526123047,2.0
dennis,37.5,38.0,neumark,2,-9.807210922241211,17.450946807861328,1.625
deshawn jefferson,45.4,45.85,nunley,100,-7.035481929779053,17.643585205078125,1.75
diane,50.0,65.0,neumark,1,-9.295997619628906,17.835100173950195,2.125
donald,12.0,40.0,neumark,1,-10.375873565673828,16.709259033203125,1.25
dong liu,50.22222222222222,63.22222222222222,oreopoulos,18,-8.878459930419922,17.986482620239258,1.75
donna,57.883495145631066,59.699029126213595,farber,103,-9.372859001159668,17.647674560546875,2.0
donnell,50.396039603960396,48.42574257425743,flake_leasure,202,-9.609945297241211,16.703643798828125,1.75
dorothy,70.0,72.0,neumark,1,-8.98630428314209,17.6868953704834,1.875
dziella lousaper,49.72649572649573,52.82051282051282,jacquemet,117,-7.391299724578857,16.500690460205078,1.375
ebony,51.80065359477124,49.669934640522875,bertrand,306,-9.374290466308594,17.45022964477539,1.75
ebony booker,49.16,49.73,nunley,100,-8.888628005981445,18.05872344970703,1.875
ebony williams,61.76470588235294,60.88235294117647,jacquemet,51,-9.216137886047363,18.001663208007812,2.125
edona sanastroug,40.53191489361702,45.702127659574465,jacquemet,47,-5.893373489379883,17.16120719909668,1.75
edona sanatroug,58.22222222222222,65.47619047619048,jacquemet,63,-5.7580790519714355,16.589269638061523,1.75
edward,57.666666666666664,73.33333333333333,neumark,3,-9.775930404663086,17.671096801757812,1.875
emily,66.26384364820846,64.90228013029316,bertrand,307,-9.156103134155273,17.96681022644043,2.0
