alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
-9.426263427734375,warmth,low_warmth,sd_matched,False,-0.03125,warmth,5.439453029132101,target,additive,warmth,0,-25.4375,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t057_s00133,-0.05,57,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.25,warmth,5.439453029132101,target,additive,warmth,0,-25.875,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t066_s00141,-0.05,66,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.28125,warmth,5.439453029132101,target,additive,warmth,0,-25.65625,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t078_s00165,-0.05,78,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.0625,warmth,5.439453029132101,target,additive,warmth,0,-24.8125,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t079_s00169,-0.05,79,raw
-9.426263427734375,warmth,low_warmth,sd_matched,False,0.28125,warmth,5.439453029132101,target,additive,warmth,0,-25.3125,0.013318272307515144,steering,,-1.7329432531635254,warmth,low_warmth_t097_s00197,-0.05,97,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,26.8125,0.0,steering,,0.0,warmth,high_warmth_t019_s00004,0.0,19,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,24.375,0.0,steering,,0.0,warmth,high_warmth_t003_s00028,0.0,3,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,26.25,0.0,steering,,0.0,warmth,high_warmth_t008_s00048,0.0,8,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,26.3125,0.0,steering,,0.0,warmth,high_warmth_t035_s00092,0.0,35,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,26.6875,0.0,steering,,0.0,warmth,high_warmth_t056_s00128,0.0,56,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,25.875,0.0,steering,,0.0,warmth,high_warmth_t057_s00132,0.0,57,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,26.875,0.0,steering,,0.0,warmth,high_warmth_t066_s00140,0.0,66,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,26.59375,0.0,steering,,0.0,warmth,high_warmth_t078_s00164,0.0,78,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,26.5,0.0,steering,,0.0,warmth,high_warmth_t079_s00168,0.0,79,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,1,26.46875,0.0,steering,,0.0,warmth,high_warmth_t097_s00196,0.0,97,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.84375,0.0,steering,,0.0,warmth,low_warmth_t019_s00005,0.0,19,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.5,0.0,steering,,0.0,warmth,low_warmth_t003_s00029,0.0,3,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.96875,0.0,steering,,0.0,warmth,low_warmth_t008_s00049,0.0,8,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.5,0.0,steering,,0.0,warmth,low_warmth_t035_s00093,0.0,35,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.625,0.0,steering,,0.0,warmth,low_warmth_t056_s00129,0.0,56,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.40625,0.0,steering,,0.0,warmth,low_warmth_t057_s00133,0.0,57,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-26.125,0.0,steering,,0.0,warmth,low_warmth_t066_s00141,0.0,66,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.9375,0.0,steering,,0.0,warmth,low_warmth_t078_s00165,0.0,78,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-24.875,0.0,steering,,0.0,warmth,low_warmth_t079_s00169,0.0,79,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.59375,0.0,steering,,0.0,warmth,low_warmth_t097_s00197,0.0,97,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.3125,warmth,5.439453029132101,target,additive,warmth,1,27.125,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t019_s00004,0.05,19,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.46875,warmth,5.439453029132101,target,additive,warmth,1,24.84375,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t003_s00028,0.05,3,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.21875,warmth,5.439453029132101,target,additive,warmth,1,26.46875,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t008_s00048,0.05,8,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.5,warmth,5.439453029132101,target,additive,warmth,1,26.8125,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t035_s00092,0.05,35,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.46875,warmth,5.439453029132101,target,additive,warmth,1,27.15625,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t056_s00128,0.05,56,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.5625,warmth,5.439453029132101,target,additive,warmth,1,26.4375,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t057_s00132,0.05,57,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.59375,warmth,5.439453029132101,target,additive,warmth,1,27.46875,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t066_s00140,0.05,66,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.53125,warmth,5.439453029132101,target,additive,warmth,1,27.125,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t078_s00164,0.05,78,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.25,warmth,5.439453029132101,target,additive,warmth,1,26.75,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t079_s00168,0.05,79,raw
9.426263427734375,warmth,high_warmth,sd_matched,False,0.59375,warmth,5.439453029132101,target,additive,warmth,1,27.0625,0.017220495268702507,steering,,1.7329432531635254,warmth,high_warmth_t097_s00196,0.05,97,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,0.0,warmth,5.439453029132101,target,additive,warmth,0,-25.84375,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t019_s00005,0.05,19,raw
