mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,random_012,0.1,0.01875,-0.0125,0.05625,20,norm_preserving,sd_matched,0.20532424222246776,0.35557516298187736,1.7317738964141092,0.00013553883763961494
steering,competence,random_013,-0.1,0.0125,-0.03125,0.05625,20,additive,sd_matched,0.2012929841356275,-0.3485939354573791,-1.7317738964141092,0.00012449902715161443
steering,competence,random_013,-0.1,0.0125,-0.03125,0.05625,20,norm_preserving,sd_matched,0.2012929841356275,-0.3485939354573791,-1.7317738964141092,0.00012449902715161443
steering,competence,random_013,-0.05,0.025,-0.025,0.0625,20,additive,sd_matched,0.2012929841356275,-0.17429696772868955,-0.8658869482070546,5.1352526497794315e-05
steering,competence,random_013,-0.05,0.025,-0.025,0.0625,20,norm_preserving,sd_matched,0.2012929841356275,-0.17429696772868955,-0.8658869482070546,5.1352526497794315e-05
steering,competence,random_013,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.2012929841356275,0.0,0.0,0.0
steering,competence,random_013,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.2012929841356275,0.0,0.0,0.0
steering,competence,random_013,0.05,0.03125,-0.00625,0.08125,20,additive,sd_matched,0.2012929841356275,0.17429696772868955,0.8658869482070546,5.164225149201229e-05
steering,competence,random_013,0.05,0.03125,-0.00625,0.08125,20,norm_preserving,sd_matched,0.2012929841356275,0.17429696772868955,0.8658869482070546,5.164225149201229e-05
steering,competence,random_013,0.1,-0.0125,-0.0625,0.03125,20,additive,sd_matched,0.2012929841356275,0.3485939354573791,1.7317738964141092,0.00012139734462834895
steering,competence,random_013,0.1,-0.0125,-0.0625,0.03125,20,norm_preserving,sd_matched,0.2012929841356275,0.3485939354573791,1.7317738964141092,0.00012139734462834895
steering,competence,random_014,-0.1,-0.05,-0.075,-0.01875,20,additive,sd_matched,0.19808400707056956,-0.3430367127419202,-1.7317738964141092,0.00010390799434389919
steering,competence,random_014,-0.1,-0.05,-0.075,-0.01875,20,norm_preserving,sd_matched,0.19808400707056956,-0.3430367127419202,-1.7317738964141092,0.00010390799434389919
steering,competence,random_014,-0.05,0.0,-0.0375,0.0375,20,additive,sd_matched,0.19808400707056956,-0.1715183563709601,-0.8658869482070546,5.2631061407737434e-05
steering,competence,random_014,-0.05,0.0,-0.0375,0.0375,20,norm_preserving,sd_matched,0.19808400707056956,-0.1715183563709601,-0.8658869482070546,5.2631061407737434e-05
steering,competence,random_014,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.19808400707056956,0.0,0.0,0.0
steering,competence,random_014,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.19808400707056956,0.0,0.0,0.0
steering,competence,random_014,0.05,0.0125,-0.025,0.05,20,additive,sd_matched,0.19808400707056956,0.1715183563709601,0.8658869482070546,5.6324468459933996e-05
steering,competence,random_014,0.05,0.0125,-0.025,0.05,20,norm_preserving,sd_matched,0.19808400707056956,0.1715183563709601,0.8658869482070546,5.6324468459933996e-05
steering,competence,random_014,0.1,0.04375,0.0,0.0875,20,additive,sd_matched,0.19808400707056956,0.3430367127419202,1.7317738964141092,0.00010972439486067742
steering,competence,random_014,0.1,0.04375,0.0,0.0875,20,norm_preserving,sd_matched,0.19808400707056956,0.3430367127419202,1.7317738964141092,0.00010972439486067742
steering,competence,random_015,-0.1,0.00625,-0.05,0.0625,20,additive,sd_matched,0.21203968852189822,-0.3672047975860018,-1.7317738964141094,0.00011994707165285945
steering,competence,random_015,-0.1,0.00625,-0.05,0.0625,20,norm_preserving,sd_matched,0.21203968852189822,-0.3672047975860018,-1.7317738964141094,0.00011994707165285945
steering,competence,random_015,-0.05,0.01875,-0.00625,0.04375,20,additive,sd_matched,0.21203968852189822,-0.1836023987930009,-0.8658869482070547,5.690919351764023e-05
steering,competence,random_015,-0.05,0.01875,-0.00625,0.04375,20,norm_preserving,sd_matched,0.21203968852189822,-0.1836023987930009,-0.8658869482070547,5.690919351764023e-05
steering,competence,random_015,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.21203968852189822,0.0,0.0,0.0
steering,competence,random_015,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.21203968852189822,0.0,0.0,0.0
steering,competence,random_015,0.05,0.0125,-0.025,0.05625,20,additive,sd_matched,0.21203968852189822,0.1836023987930009,0.8658869482070547,5.6511227739974856e-05
steering,competence,random_015,0.05,0.0125,-0.025,0.05625,20,norm_preserving,sd_matched,0.21203968852189822,0.1836023987930009,0.8658869482070547,5.6511227739974856e-05
steering,competence,random_015,0.1,0.025,-0.025,0.075,20,additive,sd_matched,0.21203968852189822,0.3672047975860018,1.7317738964141094,0.00013069216220173985
