mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,competence,-0.1,15.90625,-2.96484375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,competence,-0.1,-21.6875,-0.03125,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,-0.1,-21.84375,0.25,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,-0.1,-21.90625,0.34375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,competence,-0.1,-19.453125,0.3125,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,competence,-0.1,-22.15625,0.40625,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,competence,-0.1,-22.75,-0.03125,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,competence,-0.1,-22.96875,-0.09375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,competence,-0.1,-22.4375,0.6875,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,competence,-0.1,-22.125,-0.09375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,competence,-0.1,-22.09375,0.59375,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,competence,-0.05,16.9765625,-0.8857421875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,-0.05,16.87890625,-0.87890625,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,-0.05,16.87890625,-1.328125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,competence,-0.05,17.58203125,-1.203125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,competence,-0.05,16.9921875,-1.404296875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,competence,-0.05,16.046875,-1.53125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,competence,-0.05,17.265625,-1.2314453125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,competence,-0.05,17.15625,-1.2037353515625,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,competence,-0.05,15.828125,-1.19921875,warmth,competence,cross_axis,,raw
