name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
shirley,69.0,48.5,neumark,2,38540.09375,41317.1875,-0.125
shreya sharma,56.42857142857143,62.785714285714285,oreopoulos,14,37231.453125,39910.40625,-0.125
sofiko kushtrim,52.027027027027025,57.846846846846844,jacquemet,111,36050.3515625,38590.44921875,-0.25
steohen,34.0,52.75,neumark,4,36509.96875,39112.4921875,-0.625
stephanie,91.0,76.0,neumark,1,38712.51171875,41510.46484375,-0.125
stephen,55.0,91.0,neumark,1,38541.8203125,41323.734375,-0.25
steven,49.5,44.0,neumark,2,38533.80078125,41321.203125,-0.25
susan,58.838815789473685,60.625,farber,304,38876.5078125,41677.72265625,0.0
tameka,44.49,43.46,flake_leasure,200,36837.71875,39487.0,-0.125
tamika,50.20779220779221,48.745098039215684,bertrand,308,37522.9296875,40224.9609375,-0.25
tammy,50.5,70.5,neumark,2,38527.36328125,41313.33203125,-0.25
tanisha,50.299674267100976,48.43322475570032,bertrand,307,36871.453125,39508.890625,-0.125
tanisha white,54.35294117647059,49.411764705882355,jacquemet,51,36525.98046875,39153.66015625,-0.125
tao wang,44.81818181818182,73.27272727272727,oreopoulos,11,38052.21875,40812.62109375,-0.25
tara singh,64.77777777777777,68.11111111111111,oreopoulos,9,38051.88671875,40797.8203125,-0.125
tawanda,42.663366336633665,40.7029702970297,flake_leasure,202,37031.0078125,39685.5546875,-0.125
teresa,49.0,45.0,neumark,1,38538.1015625,41317.49609375,-0.375
terrance,50.23762376237624,52.56435643564357,flake_leasure,202,37532.7578125,40233.78125,-0.25
terrell,47.37623762376238,46.42574257425743,flake_leasure,202,38032.8671875,40777.703125,-0.25
thomas,74.0,82.0,neumark,1,38532.87890625,41321.8203125,-0.25
timothy,42.0,41.666666666666664,neumark,3,38354.6484375,41128.08984375,-0.375
timoty,40.0,33.0,neumark,1,37843.1640625,40564.078125,-0.625
todd,54.69055374592834,59.98371335504886,bertrand,307,38339.5390625,41112.03125,-0.5
tomeka,43.198019801980195,40.603960396039604,flake_leasure,202,37178.1640625,39855.80859375,-0.125
tracy,41.0,45.5,neumark,4,38539.5390625,41322.703125,-0.125
tremayne,46.33876221498371,45.28664495114006,bertrand,307,37195.18359375,39856.47265625,-0.25
tyler,54.0,55.333333333333336,neumark,3,38536.90234375,41319.0390625,-0.375
tyrone,45.87012987012987,48.29545454545455,bertrand,308,38521.03125,41303.828125,-0.375
victoria,70.0,60.0,neumark,1,38714.8203125,41506.94921875,-0.375
vivian zhang,64.16666666666667,74.33333333333333,oreopoulos,6,38039.8125,40806.703125,-0.25
wiliam,71.66666666666667,73.66666666666667,neumark,3,36849.4375,39498.15234375,-0.5
william,49.333333333333336,47.0,neumark,3,38530.34765625,41319.84765625,-0.375
william novak,56.1875,77.58333333333333,widner,48,38013.15625,40794.4296875,-0.125
xavier washington,54.02040816326531,59.285714285714285,gorzig,49,37838.54296875,40608.55859375,0.125
xiuying zhang,53.92857142857143,75.5,oreopoulos,14,36869.63671875,39533.5234375,-0.25
yong zhang,36.44444444444444,63.666666666666664,oreopoulos,9,38034.16796875,40804.9140625,-0.125
zachary,55.75,54.5,neumark,4,38364.484375,41144.2890625,-0.375
